VegetableType,Distrcit,Rainfall,MaximumTemperature,MinimumTemperature, RelativeHumidity,Pressure,Extent,Production
beans,badulla,2926.338886,26.24,19.19,92,97.5,39.6,292.8
beans,badulla,1681.330629,27.38,21.05,89.09,97.58,46,345.4
beans,badulla,597.1646143,29.5,22.79,82.23,97.76,64.5,538.6
beans,badulla,428.6954429,30.62,23.38,78.33,97.86,77.9,721.1
beans,badulla,1442.765343,27.67,21.51,88.25,97.61,47.8,367.1
beans,badulla,480.3001857,30.23,23.02,79.67,97.83,68.2,608.7
beans,badulla,616.8393,29.44,22.75,82.61,97.77,63.7,531.8
beans,badulla,2650.497671,26.54,19.64,91.51,97.52,41.2,303.6
beans,badulla,689.9874857,29.14,22.64,83.63,97.75,60.6,501.6
beans,badulla,3361.826671,26.05,18.91,90.15,97.55,43.6,326.7
beans,badulla,242.8298571,33.61,23.76,71.81,97.98,105.9,884.4
beans,badulla,365.967,30.95,23.14,76.97,97.89,84.2,708.1
beans,badulla,449.2990714,30.5,23.31,78.86,97.85,75.3,637.8
beans,badulla,1312.652814,27.85,21.67,87.87,97.62,48.9,378.3
beans,badulla,241.7089714,33.64,23.76,71.75,97.98,106,885.6
beans,badulla,483.714,30.21,23.02,79.79,97.83,68,606.5
beans,badulla,326.5136714,31.26,23.25,75.62,97.92,91.2,685.9
beans,badulla,612.4870429,29.45,22.76,82.48,97.78,64.2,534.8
beans,badulla,870.8993143,28.59,22.26,85.5,97.7,54.9,441
beans,badulla,339.0461714,31.19,23.21,76.17,97.91,88.5,677.3
beans,badulla,758.6870429,28.91,22.49,83.85,97.72,58,476.5
beans,badulla,1221.440657,28.02,21.81,87.25,97.63,50,387.6
beans,badulla,814.885,28.77,22.37,84.95,97.71,56.8,455.7
beans,badulla,996.4610571,28.38,22.12,86.36,97.67,52.9,419.7
beans,badulla,461.3783143,30.41,23.07,79.17,97.84,70.5,627.5
beans,badulla,832.5611429,28.68,22.35,85.21,97.7,55.7,450.9
beans,badulla,572.5626,29.65,22.81,81.89,97.76,65.6,545.7
beans,badulla,210.3366429,34.36,23.91,70.74,98,110.9,955.9
beans,badulla,121.6229857,32.04,24.25,66.31,98.08,129.7,1125.5
beans,badulla,352.1929857,31.08,23.18,76.43,97.9,86,661.9
beans,badulla,936.0899143,28.47,22.19,85.84,97.68,53.6,429.3
beans,badulla,820.9892714,28.77,22.37,84.99,97.71,56.7,454.7
beans,badulla,1022.333786,28.32,22.05,86.51,97.67,52.4,414.7
beans,badulla,556.0694286,29.73,22.88,81.42,97.79,66.6,557.3
beans,badulla,441.8067857,30.55,23.33,78.64,97.86,76,649.4
beans,badulla,257.9190857,33.35,23.73,72.11,97.97,104.7,879.4
beans,badulla,376.074,30.93,23.12,77.16,97.89,83.4,771.3
beans,badulla,2128.972114,27.08,20.61,92.66,97.49,38.3,281
beans,badulla,2431.599557,26.73,20,90.8,97.54,41.7,310.9
beans,badulla,1094.035171,28.16,21.95,86.88,97.65,51.5,399.4
beans,badulla,347.9732,31.12,23.19,76.38,97.9,86.5,663.9
beans,badulla,613.6203143,29.45,22.76,82.52,97.78,64,534.7
beans,badulla,226.3308571,34.15,23.85,71.19,97.99,108.9,931.7
beans,badulla,1528.246429,27.57,21.41,88.44,97.6,47,356.2
beans,badulla,1286.899186,27.89,21.71,87.77,97.62,48.9,380.7
beans,badulla,1188.667714,28.09,21.84,87.13,97.64,50.6,389.8
beans,badulla,2316.946957,26.86,20.25,93.54,97.46,36.6,272.4
beans,badulla,280.1060857,31.79,23.61,73.22,97.96,99.1,828
beans,badulla,658.4189714,29.24,22.68,83.39,97.78,61.2,509.2
beans,badulla,332.2378,31.25,23.24,75.98,97.92,90.1,683.1
beans,badulla,1639.058329,27.45,21.18,88.84,97.59,46.3,348.5
beans,badulla,1818.127843,27.27,20.91,89.59,97.57,45.4,340.5
beans,badulla,800.9206429,28.81,22.4,84.81,97.72,56.9,464.5
beans,badulla,1048.8558,28.21,21.99,86.75,97.66,51.6,402.6
beans,badulla,1271.394343,27.93,21.73,87.63,97.62,49,381.7
beans,badulla,1576.134043,27.52,21.31,88.51,97.59,46.8,354
beans,badulla,3505.305729,25.98,18.77,90.22,97.55,43.3,322.2
beans,badulla,727.5876714,29.01,22.57,84.53,97.73,59.1,486.6
beans,badulla,496.2221143,30.09,22.98,80.15,97.82,70.8,600.4
beans,badulla,441.2473,30.55,23.33,78.63,97.86,76,650
beans,badulla,23.3253857,35.03,24.61,61.06,98.19,150.3,1456.3
beans,badulla,60.4873857,32.39,24.4,64.41,98.13,140.4,1280.4
beans,badulla,6.7768857,36.16,25.01,55.17,98.27,167.4,1643.2
beans,badulla,89.821,32.25,24.32,65.44,98.1,134.6,1156.7
beans,badulla,138.1224714,33.16,24.15,67.08,98.07,124.5,1091.8
beans,badulla,461.5789,30.41,23.07,79.2,97.84,70.4,626
beans,badulla,1774.478614,27.34,21,89.38,97.57,45.6,343.7
beans,badulla,1203.3594,28.05,21.83,87.2,97.64,50.1,388
beans,badulla,3065.804286,26.22,19.08,89.94,97.56,43.9,331.5
beans,badulla,2359.607057,26.8,20.2,93.69,97.44,36.3,269.5
beans,badulla,588.2317,29.58,22.8,82.07,97.76,64.9,541.7
beans,badulla,352.3706857,31.08,23.18,76.46,97.9,85.7,661.5
beans,badulla,581.1650429,29.63,22.81,81.93,97.76,65.3,543.5
beans,badulla,1233.115457,27.96,21.78,87.37,97.63,49.5,384.9
beans,badulla,1034.399686,28.28,22.02,86.6,97.66,52,411
beans,badulla,206.2613429,34.75,23.91,70.4,98,111.6,962.9
beans,badulla,204.4960429,32.58,23.91,70.25,98.01,111.7,965.9
beans,badulla,530.2160857,29.93,22.91,81.05,97.8,71.7,572.7
beans,badulla,802.1821857,28.8,22.39,84.83,97.72,56.8,462.4
beans,badulla,831.2074429,28.69,22.35,85.18,97.71,55.9,452
beans,badulla,132.0130857,33.3,24.2,66.73,98.08,125.2,1117.9
beans,badulla,655.0226571,29.24,22.69,83.3,97.78,61.7,512
beans,badulla,1008.609314,28.34,22.09,86.42,97.67,52.7,416.1
beans,badulla,267.4733571,31.93,23.69,72.73,97.96,102.2,856.3
beans,badulla,303.5730429,31.57,23.55,73.96,97.94,95.6,786.9
beans,badulla,316.0940429,31.4,23.52,74.95,97.93,93.1,698.5
beans,badulla,657.9418714,29.24,22.69,83.35,97.78,61.6,511
beans,badulla,136.3328714,33.18,24.16,66.98,98.07,124.9,1105.7
beans,badulla,352.8513857,31.07,23.18,76.49,97.9,85.4,720.3
beans,badulla,939.1666571,28.46,22.17,85.88,97.68,53.5,428.1
beans,badulla,1091.3985,28.19,21.96,86.84,97.65,51.5,401.5
beans,badulla,761.9512714,28.91,22.48,83.93,97.72,58,476.3
beans,badulla,429.9733857,30.62,23.37,78.34,97.86,77.9,660.6
beans,badulla,703.5808143,29.12,22.62,83.69,97.74,60.1,496
beans,badulla,2642.042986,26.61,19.7,91.39,97.52,41.2,304.9
beans,badulla,1570.181557,27.53,21.31,88.49,97.59,46.8,354.3
beans,badulla,1318.817829,27.84,21.67,87.88,97.62,48.8,377.7
beans,badulla,1920.175186,27.18,20.79,89.91,97.56,44.3,334.3
beans,badulla,5296.392514,24.86,17.25,94.82,97.34,32.6,242.9
beans,badulla,391.5817,30.86,23.26,77.63,97.87,81.5,756.1
beans,badulla,1645.574014,27.44,21.16,88.86,97.58,46.2,348
beans,badulla,155.4345429,32.96,24.09,67.85,98.05,119.7,1036.3
beans,badulla,2880.631529,26.27,19.25,91.91,97.5,40,295.5
beans,badulla,1510.444686,27.58,21.42,88.4,97.6,47.2,358.1
beans,badulla,1631.814957,27.45,21.19,88.84,97.59,46.4,349.1
beans,badulla,844.8376286,28.65,22.32,85.29,97.7,55.5,448.2
beans,badulla,108.2122714,32.22,24.29,65.63,98.09,132.2,1151.2
beans,badulla,188.2893714,32.77,23.99,69.24,98.03,116.4,996
beans,badulla,1238.771214,27.95,21.78,87.39,97.63,49.4,383.7
beans,badulla,500.4353,30.09,22.97,80.37,97.82,73.8,596.8
beans,badulla,1424.4006,27.69,21.52,88.2,97.61,47.9,368.8
beans,badulla,239.1804,33.68,23.78,71.42,97.99,106.1,886.9
beans,badulla,543.7159,29.87,22.9,81.22,97.8,67.2,567
beans,badulla,1161.487157,28.11,21.88,87.05,97.64,50.9,392.8
beans,badulla,157.6094571,32.95,24.08,67.89,98.05,119.4,1031.3
beans,badulla,37.7838714,32.53,24.49,62.41,98.17,146.9,1367.9
beans,badulla,796.8254571,28.81,22.4,84.44,97.72,57,465
beans,badulla,494.0517571,30.12,22.99,80.07,97.82,67.4,603.5
beans,badulla,915.0621857,28.53,22.21,85.72,97.69,54.1,431.5
