Date,VegetableType,Distrcit,Rainfall,MaximumTemperature,MinimumTemperature, RelativeHumidity,Pressure
1/7/19,carrot,matale,588.8035,27.77,21.17,85.61,95.95
1/14/19,carrot,matale,302.9349714,29.08,21.96,81.27,96.04
1/21/19,carrot,matale,257.3195429,29.45,22.14,79.98,96.08
1/28/19,carrot,matale,312.7361714,29,21.93,81.36,96.04
2/4/19,carrot,matale,264.2274429,29.38,22.12,80.34,96.07
2/11/19,carrot,matale,163.2711143,30.39,22.52,76.62,96.15
2/18/19,carrot,matale,150.4537714,30.55,22.61,75.9,96.17
2/25/19,carrot,matale,141.5889,30.65,22.62,75.45,96.17
3/4/19,carrot,matale,157.3831571,30.48,22.57,76.2,96.16
3/11/19,carrot,matale,378.8462429,28.59,21.73,82.65,96.01
3/18/19,carrot,matale,397.5921,28.5,21.67,82.9,96.01
3/25/19,carrot,matale,318.8124143,28.95,21.91,81.45,96.04
4/1/19,carrot,matale,246.5516571,29.54,22.19,79.66,96.09
4/8/19,carrot,matale,528.5534,27.92,21.36,84.96,95.96
4/15/19,carrot,matale,2719.8502,25.5,17.45,92.34,95.75
4/22/19,carrot,matale,572.4435571,27.83,21.23,85.4,95.95
4/29/19,carrot,matale,248.2193,29.51,22.19,79.76,96.09
5/6/19,carrot,matale,175.5516,30.28,22.45,77.22,96.14
5/13/19,carrot,matale,572.4587286,27.82,21.23,85.4,95.95
5/20/19,carrot,matale,493.9850571,28.06,21.42,84.48,95.97
5/27/19,carrot,matale,561.9839143,27.86,21.28,85.21,95.95
6/3/19,carrot,matale,413.9941714,28.39,21.62,83.21,96
6/10/19,carrot,matale,3211.7346,25.14,16.82,93.03,95.7
6/17/19,carrot,matale,2604.0421,25.6,17.61,92.21,95.76
6/24/19,carrot,matale,536.3048143,27.91,21.34,85.02,95.96
7/1/19,carrot,matale,272.0214286,29.33,22.07,80.52,96.07
7/8/19,carrot,matale,4354.243243,24.62,16.14,94.23,95.67
7/15/19,carrot,matale,402.5820143,28.49,21.67,82.96,96
7/22/19,carrot,matale,1259.987443,26.82,19.85,89.12,95.85
7/29/19,carrot,matale,672.3049286,27.6,20.97,86.38,95.93
8/5/19,carrot,matale,353.5761714,28.75,21.81,82.11,96.02
8/12/19,carrot,matale,61.6998286,31.74,23.02,71.82,96.26
8/19/19,carrot,matale,458.7438143,28.21,21.52,83.92,95.98
8/26/19,carrot,matale,106.6398,31.09,22.82,74.14,96.21
9/2/19,carrot,matale,79.8061714,31.45,22.92,72.41,96.24
9/9/19,carrot,matale,499.9192429,27.99,21.4,84.65,95.97
9/16/19,carrot,matale,318.8250714,28.95,21.91,81.46,96.04
9/23/19,carrot,matale,249.7167143,29.49,22.18,79.83,96.08
9/30/19,carrot,matale,21.4915714,32.89,23.38,67.7,96.33
10/7/19,carrot,matale,780.9049143,27.29,20.77,87.19,95.91
10/14/19,carrot,matale,134.5105857,30.72,22.66,75.02,96.18
10/21/19,carrot,matale,624.4282143,27.67,21.03,85.91,95.94
10/28/19,carrot,matale,59.4963143,31.86,23.06,71.3,96.26
11/4/19,carrot,matale,291.1273571,29.18,22,81.02,96.05
11/11/19,carrot,matale,258.1200286,29.45,22.14,80.1,96.08
11/18/19,carrot,matale,576.3152,27.8,21.22,85.48,95.95
11/25/19,carrot,matale,299.832,29.1,21.98,81.14,96.05
12/2/19,carrot,matale,332.8624,28.87,21.87,81.71,96.03
12/9/19,carrot,matale,711.1538143,27.47,20.88,86.81,95.92
12/16/19,carrot,matale,2834.3464,25.36,17.16,92.56,95.74
1/0/00,beans,badulla,0,0,0,0,0
1/1/00,beans,kandy,0,0,0,0,0
1/2/00,beans,matale,0,0,0,0,0
1/3/00,beans,nuwaraeliya,0,0,0,0,0
1/4/00,beans,ratnapura,0,0,0,0,0
1/5/00,beetroot,badulla,0,0,0,0,0
1/6/00,beetroot,kandy,0,0,0,0,0
1/7/00,beetroot,matale,0,0,0,0,0
1/8/00,beetroot,nuwaraeliya,0,0,0,0,0
1/9/00,beetroot,ratnapura,0,0,0,0,0
1/10/00,carrot,badulla,0,0,0,0,0
1/11/00,carrot,kandy,0,0,0,0,0
1/12/00,carrot,matale,0,0,0,0,0
1/13/00,carrot,nuwaraeliya,0,0,0,0,0
1/14/00,carrot,ratnapura,0,0,0,0,0
1/15/00,knohkhol,badulla,0,0,0,0,0
1/16/00,knohkhol,kandy,0,0,0,0,0
1/17/00,knohkhol,matale,0,0,0,0,0
1/18/00,knohkhol,nuwaraeliya,0,0,0,0,0
1/19/00,knohkhol,ratnapura,0,0,0,0,0
1/20/00,leeks,badulla,0,0,0,0,0
1/21/00,leeks,kandy,0,0,0,0,0
1/22/00,leeks,matale,0,0,0,0,0
1/23/00,leeks,nuwaraeliya,0,0,0,0,0
1/24/00,leeks,ratnapura,0,0,0,0,0
