Date,VegetableType,Distrcit,Rainfall,MaximumTemperature,MinimumTemperature, RelativeHumidity,Pressure
1/7/19,beans,kandy,536.5930571,28.72,22.08,82.17,96.02
1/14/19,beans,kandy,515.3188571,28.83,21.86,81.79,96.03
1/21/19,beans,kandy,496.3225857,28.93,21.59,81.5,96.04
1/28/19,beans,kandy,470.4756714,29.11,21.67,81.1,96.05
2/4/19,beans,kandy,283.5057,32.61,22.51,76.66,96.15
2/11/19,beans,kandy,372.3627429,30.87,22.24,79.13,96.1
2/18/19,beans,kandy,375.0480857,30.8,22.23,79.16,96.1
2/25/19,beans,kandy,271.8624571,32.86,22.56,76.53,96.16
3/4/19,beans,kandy,676.1317429,28.2,21.51,83.97,95.98
3/11/19,beans,kandy,656.8958,28.24,21.53,83.69,95.99
3/18/19,beans,kandy,492.9050571,28.93,21.59,81.48,96.04
3/25/19,beans,kandy,413.7441143,29.43,22.13,80.22,96.08
4/1/19,beans,kandy,784.2591286,27.86,21.27,85.23,95.95
4/8/19,beans,kandy,3583.361829,25.07,16.79,93.09,95.7
4/15/19,beans,kandy,782.0544571,27.86,21.28,85.21,95.95
4/22/19,beans,kandy,314.7791429,31.74,22.42,77.77,96.13
4/29/19,beans,kandy,404.5679857,29.45,22.14,80.06,96.08
5/6/19,beans,kandy,879.5622429,27.64,21.01,86.09,95.93
5/13/19,beans,kandy,679.1252,28.17,21.48,84.01,95.98
5/20/19,beans,kandy,680.2005857,28.16,21.48,84.02,95.98
5/27/19,beans,kandy,549.1168857,28.66,22.05,82.4,96.02
6/3/19,beans,kandy,3405.426171,25.24,17.03,92.83,95.72
6/10/19,beans,kandy,2523.114857,25.9,18.2,91.4,95.78
6/17/19,beans,kandy,489.0714857,28.97,21.62,81.4,96.04
6/24/19,beans,kandy,318.8524,31.56,22.39,77.83,96.13
7/1/19,beans,kandy,5629.635771,23.83,15.84,95.46,95.65
7/8/19,beans,kandy,305.9924571,31.96,22.44,77.29,96.14
7/15/19,beans,kandy,1892.913414,26.55,19.28,90.07,95.82
7/22/19,beans,kandy,829.9737857,27.77,21.18,85.59,95.95
7/29/19,beans,kandy,410.0052,29.44,22.14,80.12,96.08
8/5/19,beans,kandy,123.8900429,30.16,23.02,71.61,96.26
8/12/19,beans,kandy,398.0627429,29.46,22.17,79.86,96.08
8/19/19,beans,kandy,136.8038429,30.06,22.96,72.2,96.25
8/26/19,beans,kandy,196.7802286,29.88,22.79,74.28,96.2
9/2/19,beans,kandy,579.2555143,28.55,22.01,82.68,96.01
9/9/19,beans,kandy,435.6431857,29.31,21.77,80.59,96.07
9/16/19,beans,kandy,360.0850857,31.05,22.28,78.96,96.11
9/23/19,beans,kandy,152.7554714,30,22.91,72.68,96.24
9/30/19,beans,kandy,1042.733857,27.33,20.79,87.14,95.91
10/7/19,beans,kandy,246.9748286,30.65,22.63,75.33,96.17
10/14/19,beans,kandy,744.1914857,27.93,21.36,84.89,95.96
10/21/19,beans,kandy,122.9837143,30.2,23.03,71.54,96.26
10/28/19,beans,kandy,335.8413286,31.35,22.35,78.06,96.11
11/4/19,beans,kandy,464.2986,29.15,21.71,81.03,96.05
11/11/19,beans,kandy,701.1893286,28.08,21.44,84.38,95.98
11/18/19,beans,kandy,333.4142,31.37,22.35,78.03,96.12
11/25/19,beans,kandy,576.5952571,28.59,22.01,82.65,96.01
12/2/19,beans,kandy,869.6145286,27.67,21.05,85.91,95.94
12/9/19,beans,kandy,2705.461971,25.7,17.89,91.95,95.77
12/16/19,beans,kandy,3356.287243,25.29,17.13,92.66,95.73
1/0/00,beans,badulla,0,0,0,0,0
1/1/00,beans,kandy,0,0,0,0,0
1/2/00,beans,matale,0,0,0,0,0
1/3/00,beans,nuwaraeliya,0,0,0,0,0
1/4/00,beans,ratnapura,0,0,0,0,0
1/5/00,beetroot,badulla,0,0,0,0,0
1/6/00,beetroot,kandy,0,0,0,0,0
1/7/00,beetroot,matale,0,0,0,0,0
1/8/00,beetroot,nuwaraeliya,0,0,0,0,0
1/9/00,beetroot,ratnapura,0,0,0,0,0
1/10/00,carrot,badulla,0,0,0,0,0
1/11/00,carrot,kandy,0,0,0,0,0
1/12/00,carrot,matale,0,0,0,0,0
1/13/00,carrot,nuwaraeliya,0,0,0,0,0
1/14/00,carrot,ratnapura,0,0,0,0,0
1/15/00,knohkhol,badulla,0,0,0,0,0
1/16/00,knohkhol,kandy,0,0,0,0,0
1/17/00,knohkhol,matale,0,0,0,0,0
1/18/00,knohkhol,nuwaraeliya,0,0,0,0,0
1/19/00,knohkhol,ratnapura,0,0,0,0,0
1/20/00,leeks,badulla,0,0,0,0,0
1/21/00,leeks,kandy,0,0,0,0,0
1/22/00,leeks,matale,0,0,0,0,0
1/23/00,leeks,nuwaraeliya,0,0,0,0,0
1/24/00,leeks,ratnapura,0,0,0,0,0
